Symbol,Current_Price,Surprise_Impact_Score,Surprise_Rating,Earnings_Surprise_Magnitude,Revenue_Surprise_Assessment,Guidance_Accuracy,Market_Reaction_Analysis,Execution_Consistency,Trailing_EPS,Forward_EPS,EPS_Growth_Expected,Revenue_Growth,Profit_Margins,Target_Mean_Price,Price_Target_Upside,Recommendation_Mean,Volatility,Max_Drawdown,Beta,Market_Cap_B,Sector,Surprise_Rank,Rank
TATACONSUM.NS,1084.0999755859375,0.6148639122296465,Moderately Predictable,0.6498169246544876,0.5349677827774065,0.704,0.6125635246218274,0.5636579790863462,13.44,14.94,0.11160714285714286,0.098,0.07328,1208.1111,0.11439085620035798,1.92308,0.21938704545260834,0.29009377872461195,0.424,1072.753803264,Consumer Defensive,11.0,11
HINDUNILVR.NS,2629.89990234375,0.612786641743323,Moderately Predictable,0.7299501967031311,0.4681866594292065,0.63,0.6206746482968944,0.5878028171858236,46.02,,,0.051,0.16886,2696.4167,0.025292520676156106,1.89744,0.18824785320383136,0.2822537169610304,0.37,6179.186540544,Consumer Defensive,12.0,12
HCLTECH.NS,1466.300048828125,0.6100119168668452,Moderately Predictable,0.6313724420871389,0.4685425804167291,0.6962535418933867,0.6212747054454237,0.6300918803311184,62.61,70.24,0.12186551669062443,0.054,0.14229,1688.186,0.15132370168657322,2.67442,0.2315962133891055,0.30662005261569425,0.23,3972.661248,Technology,13.0,13
INFY.NS,1487.5,0.6043944403072654,Moderately Predictable,0.6390399999999999,0.48285390911082354,0.7027327154861945,0.5445848402471416,0.6291469467539523,66.94,72.32,0.08037048102778602,0.048,0.16427,1748.1364,0.17521774789915973,1.91111,0.2399066597042362,0.3015202191373789,0.348,6166.089302016,Technology,14.0,14
RELIANCE.NS,1409.199951171875,0.6039614497876014,Moderately Predictable,0.5774390859898951,0.5513009868959637,0.6865831980555804,0.6355807507951032,0.5834386434027657,60.17,71.85,0.1941166694365962,0.051,0.083459996,1633.5588,0.15921008842041948,1.61765,0.2060295266291601,0.27175745007823326,0.218,19069.998727168,Energy,15.0,15
AXISBANK.NS,1070.9000244140625,0.6022043252929834,Moderately Predictable,0.7291565544502737,0.4144083090976795,0.7087144740917195,0.6074741908533816,0.5208475070726395,89.53,,,-0.017,0.36215,1329.2927,0.24128552590828048,1.58537,0.22708645722892895,0.2802702662846882,0.476,3322.285391872,Financial Services,16.0,16
MARUTI.NS,14349.0,0.6017367450723272,Moderately Predictable,0.5454131633132221,0.4606606445584527,0.8,0.7568492348422596,0.4986197005299605,462.04,521.85,0.12944766686866938,0.079,0.09332,13959.425,-0.027149975608056362,1.65,0.20540182248212116,0.20443700416091204,0.189,4511.368740864,Consumer Cyclical,17.0,17
SUNPHARMA.NS,1641.800048828125,0.5967427025279457,Neutral,0.7547613340905646,0.5762033357394195,0.38210067594468444,0.7017808126986279,0.5556222238184477,43.34,32.68,-0.24596215966774349,0.095,0.19287,1934.3684,0.17819974568809574,1.76316,0.18615090849177518,0.19128608185075865,0.313,3939.220062208,Healthcare,18.0,18
SBILIFE.NS,1859.0,0.5962179691208384,Neutral,0.6080000000000001,0.5658151171536224,0.7887000088888888,0.6091366595707025,0.40972222488365334,24.91,26.21,0.05218787635487759,0.125,0.02052,2078.3333,0.11798456159225378,1.28125,0.22341656105215818,0.28084413906425787,0.381,1863.610269696,Financial Services,19.0,19
ITC.NS,398.29998779296875,0.5959754439266434,Neutral,0.5486332437152489,0.6074602607291616,0.6826553569171534,0.5692444395332139,0.5770367176929305,15.93,18.95,0.18957940991839295,0.165,0.44154,494.21622,0.24081404756880712,1.47222,0.1842405558843588,0.23274515981770771,0.057,4989.38413056,Consumer Defensive,20.0,20
EICHERMOT.NS,5924.5,0.5950997068403595,Neutral,0.6723898969105112,0.45934700553708785,0.6299119175284089,0.7388856186229209,0.4915880260309712,175.96,,,0.078,0.24962,5710.086,-0.03619107097645367,2.47222,0.24960103675482134,0.25920353651114225,0.127,1624.960139264,Consumer Cyclical,21.0,21
HEROMOTOCO.NS,4997.89990234375,0.593674231507291,Neutral,0.6283505988731674,0.5168203726260051,0.63,0.6691045048120182,0.5342841577099775,251.89,,,-0.047,0.12458,4823.8857,-0.03481746448386186,2.47059,0.24733017146300496,0.4215789884500595,0.707,999.919845376,Consumer Cyclical,22.0,22
BAJFINANCE.NS,894.5,0.5930778066054027,Neutral,0.6985066733927746,0.5488609842722596,0.5392213548568788,0.5678005208358279,0.5783229615300355,28.09,,,0.201,0.44939,976.6697,0.09186103968697601,2.36364,0.25343659239669286,0.28306055279683956,0.476,5557.913124864,Financial Services,23.0,23
ONGC.NS,236.2899932861328,0.592483773424136,Neutral,0.6724629448268449,0.542238591526264,0.6565102726704384,0.46865945043367513,0.5715967340651656,28.66,35.73,0.24668527564549883,-0.021,0.05486,274.44827,0.16148917769725363,2.08,0.2844304547893032,0.3226045692699779,0.383,2972.717154304,Energy,24.0,24
