Symbol,Current_Price,Momentum_Score,Momentum_Rating,Earnings_Trend,Revision_Magnitude,Analyst_Consensus,Surprise_Consistency,Forward_Momentum,Price_Momentum_12M,PE_Ratio,Forward_PE,EPS_Growth,Revenue_Growth,Volatility,Max_Drawdown,Market_Cap_B,Sector,Momentum_Rank,Rank
TCS.NS,3054.0,0.5147297192237288,Neutral,0.5,0.666902747844585,0.456462815670068,0.5,0.3171146912856895,-0.31747137366782296,22.42126,19.743988,0.06,0.013,0.20488580470506684,0.32920079800331103,11049.646424064,Technology,30.0,30
HDFCLIFE.NS,788.75,0.501546145430434,Neutral,0.5,0.5663144748957465,0.4689563513727626,0.5,0.4117625643194474,0.09161573384027522,90.039955,125.19841,0.14,0.093,0.22731950214597665,0.24443341639675872,1700.11131904,Financial Services,31.0,31
WIPRO.NS,248.63999938964844,0.499574147644419,Neutral,0.5,0.5904642231614186,0.4010256686680755,0.5,0.46752958120449184,-0.01750346951544479,19.37958,9.835443,0.105,0.008,0.272487356522227,0.2661024978252616,2603.58406144,Technology,32.0,32
EICHERMOT.NS,5924.5,0.49634274251605337,Neutral,0.5,0.5470061864498649,0.4849650784238678,0.5,0.3759818021881357,0.22138186524084924,33.669582,28.616179,0.094,0.078,0.24788168979123823,0.14254589700823056,1624.960139264,Consumer Cyclical,33.0,33
BAJAJ-AUTO.NS,8679.5,0.49506019584531247,Neutral,0.5,0.5741731511407686,0.4248753443254512,0.5,0.4154183919503008,-0.09668366587265664,31.948687,50.692093,0.136,0.112,0.2682111144829721,0.4231352548080208,2423.194648576,Consumer Cyclical,34.0,34
MARUTI.NS,14349.0,0.4920231582121496,Neutral,0.5,0.48066767037187236,0.5383688161514136,0.5,0.391824773888988,0.1868393362108718,31.055752,27.496408,0.009,0.079,0.21743196952253646,0.20443700416091193,4511.368740864,Consumer Cyclical,35.0,35
DRREDDY.NS,1277.5999755859375,0.4907989655145508,Neutral,0.5,0.4769407801455733,0.45111417597918585,0.5,0.5634093528232029,-0.08976156692419979,18.760647,3.7235873,0.02,0.114,0.20734246573576923,0.2297998077089485,1063.442251776,Healthcare,36.0,36
TRENT.NS,5418.0,0.4874761562992057,Neutral,0.5,0.5399190212340081,0.4516441344151031,0.5,0.37167574107683,-0.20056997245454944,121.94463,79.53611,0.095,0.19,0.38472885470116225,0.43895224971484575,1926.028591104,Consumer Cyclical,37.0,37
POWERGRID.NS,283.3500061035156,0.4871316330804239,Neutral,0.5,0.5179988142248229,0.44706894778817674,0.5,0.4321813996658287,-0.1325240340528312,17.698313,13.32158,-0.025,0.017,0.2767147160462539,0.29559045252296623,2635.324981248,Utilities,38.0,38
HINDUNILVR.NS,2629.89990234375,0.48069805077315064,Neutral,0.5,0.4930156042950763,0.48886119245083826,0.5,0.3467191120921394,-0.04065094954633375,57.14689,51.302174,0.056,0.051,0.19274388792826222,0.2822537169610304,6179.186540544,Consumer Defensive,39.0,39
ONGC.NS,236.2899932861328,0.47592417558411587,Neutral,0.5,0.5207680554700788,0.44870093591489624,0.5,0.30991974533616895,-0.2407008352167691,8.244592,6.61321,-0.014,-0.021,0.31699476913822927,0.32260463296827746,2972.717154304,Energy,40.0,40
BRITANNIA.NS,5545.5,0.47218058196512125,Neutral,0.5,0.47127904196363385,0.4704024066734725,0.5,0.35280340139518307,-0.03754717061079216,60.973064,68.15165,0.03,0.088,0.20000389031466742,0.29023197604557,1335.761174528,Consumer Defensive,41.0,41
KOTAKBANK.NS,1986.5999755859375,0.4691968704410001,Neutral,0.5,0.3509344338232693,0.5811982653547876,0.5,0.4022360891422527,0.09704654974437443,20.618578,17.45646,-0.4,0.02,0.22956578419334212,0.1949931614536883,3949.996539904,Financial Services,42.0,42
HCLTECH.NS,1466.300048828125,0.4667829871256132,Neutral,0.5,0.5003851931990595,0.4612505730451273,0.5,0.2443657421682289,-0.09687215350856915,23.419582,20.87557,-0.077,0.054,0.24268270510868237,0.30662011541191225,3972.661248,Technology,43.0,43
COALINDIA.NS,374.45001220703125,0.4389900616428212,Neutral,0.5,0.3656330588104379,0.472378938639625,0.5,0.281060092122868,-0.23864751289833952,6.9639206,14.724735,-0.202,-0.039,0.2964679099346112,0.3084012771642543,2307.634233344,Energy,44.0,44
SUNPHARMA.NS,1641.800048828125,0.4348671793592337,Neutral,0.5,0.3374648411537466,0.5021676704042773,0.5,0.25067434989941584,-0.0609289060823196,37.881866,50.238678,-0.195,0.095,0.1957317104472726,0.19128608185075716,3939.220062208,Healthcare,45.0,45
ASIANPAINT.NS,2504.5,0.4208873715669788,Neutral,0.5,0.34243069013412397,0.4339936545316186,0.5,0.23480968127124094,-0.19660498845158514,66.66223,88.686264,-0.06,-0.002,0.19744789788846448,0.3687269334333259,2400.721043456,Basic Materials,46.0,46
TATAMOTORS.NS,680.2999877929688,0.4178229166009615,Neutral,0.5,0.31832486878459443,0.39333021835414034,0.5,0.3457565573398477,-0.3677210289108169,11.172606,10.581492,,-0.034,0.29055191113354545,0.5010113132289322,2504.667430912,Consumer Cyclical,47.0,47
NESTLEIND.NS,1162.9000244140625,0.41585553866924224,Neutral,0.5,0.3201653388309427,0.43133598304511994,0.5,0.24547007352482533,-0.07496415738416151,71.96164,59.983864,-0.133,0.059,0.19559787985693866,0.21977861304942065,2242.431680512,Consumer Defensive,48.0,48
INDUSINDBK.NS,760.0999755859375,0.3793766519530604,Weak,0.5,0.226201618205644,0.4415823710891593,0.5,0.09509773183817498,-0.45079481532807986,58.83127,7.870159,-0.722,-0.259,0.3603310031900842,0.6186029724730101,592.175628288,Financial Services,49.0,49
ADANIENT.NS,2324.89990234375,0.3710913184677952,Weak,0.5,0.3360730043606941,0.2698367269000807,0.5,0.08105721997605507,-0.253429825912742,42.73713,35.367764,-0.511,-0.138,0.4140177250167839,0.4247732397650033,2683.352907776,Energy,50.0,50
