Symbol,Current_Price,Trend_Strength_Score,Trend_Rating,Short_Term_Strength,Medium_Term_Strength,Long_Term_Strength,Momentum_Consistency,Volume_Validation,Trend_Direction,Trend_Magnitude,Trend_Quality,Monthly_Return,Annual_Return,Volatility,Max_Drawdown,Sharpe_Ratio,Beta,Market_Cap_B,Sector,Trend_Rank,Rank
ASIANPAINT.NS,2504.5,0.6555596521770154,Moderate Uptrend,0.6629079096352781,0.9041116173587872,0.6448309377343474,0.43229382003928973,0.47265572313855075,1,0.0031916785003999575,0.75,0.06479311934709278,-0.19660498845158517,0.19744789788846448,0.3687269334333259,-0.713108302545526,0.391,2400.721043456,Basic Materials,21.0,21
ICICIBANK.NS,1436.4000244140625,0.6464379230206599,Moderate Uptrend,0.5533215190013083,0.6144210792353842,0.8989190444273719,0.44976083811903395,0.5998297505790279,1,0.0007816524484466733,0.75,-0.024212359850119807,0.2320581043626541,0.18961592811785438,0.1113958337045815,0.9818007327627903,0.495,10255.695085568,Financial Services,22.0,22
NESTLEIND.NS,1162.9000244140625,0.6390417393635672,Moderate Uptrend,0.9276281322317269,0.49296591712308235,0.8505141072263601,0.3313935728937186,0.4529138059720223,1,0.002404484111499227,0.75,0.0015933642032096064,-0.07496406756172311,0.19559778023198257,0.21977870297100943,0.08280933870777132,0.239,2242.431680512,Consumer Defensive,23.0,23
BRITANNIA.NS,5545.5,0.6308075678996463,Moderate Uptrend,0.7064196224109537,0.5391732252749831,0.8575517414915446,0.44684586760760503,0.4887701438978857,0,0.001449544914181242,0.0,-0.009664357781185323,-0.037547170610792144,0.20000389589484638,0.2902319760455701,0.442663230481897,0.529,1335.761174528,Consumer Defensive,24.0,24
TATASTEEL.NS,158.5500030517578,0.6191158067830971,Moderate Uptrend,0.5152082707761547,0.5063520095392249,0.8498204826550898,0.5989168023846962,0.58129006147722,1,0.00011806841046291836,0.75,-0.03015655006498613,0.06797977456835437,0.2861647287188134,0.3168278344845451,0.5788960899755018,1.068,1977.403834368,Basic Materials,25.0,25
LT.NS,3595.800048828125,0.6078427209326912,Moderate Uptrend,0.48018087773449325,0.7083949375273386,0.8406895400840969,0.35953713677054744,0.47069903644900996,0,0.0007191818566241747,0.0,0.03401870562994249,0.009256153449396946,0.25797046173572014,0.22626859969367139,0.5522827049593412,0.497,4945.51957504,Industrials,26.0,26
BAJFINANCE.NS,894.5,0.5997788250122749,Weak Uptrend,0.5505826472639271,0.4899182783767717,0.852643517209092,0.41642495374065297,0.6103873573461698,-1,0.0011318816575995971,0.75,-0.06720893830398836,0.3344469896178837,0.25658520172800514,0.22737206102660837,0.420457807152106,0.476,5557.913124864,Financial Services,27.0,27
TECHM.NS,1505.0,0.5812971552776224,Weak Uptrend,0.9797637346981564,0.45554062757193564,0.37778971302751013,0.45175108467145,0.728327736582748,1,0.0019853684345342497,0.75,0.004270668969923181,-0.03638549519816884,0.2543334973743462,0.29149965458182775,0.4750969551661673,0.342,1331.977650176,Technology,28.0,28
ADANIPORTS.NS,1341.199951171875,0.5674336578340508,Weak Uptrend,0.5429061975651548,0.43964766469549177,0.8587842845578456,0.25461309873453153,0.6403497746500382,0,0.0005429609368969769,0.0,-0.049872503281136946,-0.10360813896406791,0.36911128945392546,0.33776690446362895,0.6884814545813432,0.443,2897.179836416,Industrials,29.0,29
BAJAJFINSV.NS,1965.9000244140625,0.561247284203101,Weak Uptrend,0.3935534779907283,0.5119389003280422,0.8312708825537664,0.3890137241217249,0.5892138951082961,-1,0.0011484254717423988,0.75,-0.03267235290987195,0.21339820902935394,0.23506535229518308,0.22449886972091773,0.5410037924139086,0.634,3138.067890176,Financial Services,30.0,30
