Symbol,Current_Price,Breakout_Probability,Probability_Rating,Compression_Intensity,Historical_Patterns,Volume_Volatility_Divergence,Technical_Setup,Microstructure,Expected_Direction,Expected_Magnitude,Direction_Confidence,Current_Volatility_20D,Bollinger_Width,ATR_Volatility,Volatility_Percentile,Monthly_Return,Annual_Return,Max_Drawdown,Sharpe_Ratio,Beta,Market_Cap_B,Sector,Probability_Rank,Rank
MARUTI.NS,14349.0,5258.299576484695,Very High Probability,0.2492816091954023,0.5,24626.269512278664,0.3760809244696082,2218.6796099199464,1.0,0.04135551403111597,1.0,0.3282492164027254,0.24137442566593495,0.3328084401059181,0.5,0.14302370343322945,1.7162844411987535,0.20443700416091223,0.6431578823011826,0.189,4511.368740864,Consumer Cyclical,21.0,21
CIPLA.NS,1592.800048828125,4668.191349339684,Very High Probability,0.27823883508768854,0.5,28749.07764823756,0.501490679243254,-7212.6264241232375,1.0,0.03170138510558083,1.0,0.2516219436169619,0.09144275835782714,0.28251801370139873,0.5,0.08039544403700727,0.9647453284440872,0.17601910783457742,-0.04226685866025413,0.097,1286.590562304,Healthcare,22.0,22
APOLLOHOSP.NS,7922.5,4651.531584821487,Very High Probability,0.2573941504088089,0.5,21493.300867520746,0.4650308925514063,2350.7487209723504,0.5,0.041105694909876915,0.5,0.32626633860008375,0.1539585754018514,0.3290090313815577,0.5,0.07710375790836088,0.9252450949003306,0.18497179961697222,0.5606839806045334,0.161,1139.136659456,Healthcare,23.0,23
GRASIM.NS,2813.800048828125,4631.598069111941,Very High Probability,0.18811082184498676,0.5,21973.46330855827,0.6060369617021086,1577.6164943371402,0.5,0.028008144665695785,0.5,0.22230775640925404,0.0797605961731421,0.35553206560358674,0.5,0.04347939707539127,0.5217527649046952,0.18313909217198154,0.0019163048289942122,0.275,1909.312585728,Basic Materials,24.0,24
JSWSTEEL.NS,1054.5999755859375,4256.841136677466,Very High Probability,0.18778627737595252,0.5,21330.9666995195,0.6042730268661168,-64.09860499872113,0.5,0.026410402734247464,0.5,0.20962607297963723,0.06212547811960181,0.32105912029884953,0.5,0.02157468202520263,0.25889618430243155,0.14950433750329611,0.43061896517363224,0.645,2572.823298048,Basic Materials,25.0,25
ADANIPORTS.NS,1341.199951171875,4217.592249180943,Very High Probability,0.2067738814825754,0.5,13761.493519055288,0.5803353091953175,9766.865344020904,-0.5,0.03289165471228474,0.5,0.2610694157343335,0.0815845088575627,0.40931983525438226,0.5,-0.05501695916347182,-0.6602035099616618,0.29538304884867095,-0.31047802367749755,0.443,2897.179836416,Industrials,26.0,26
BAJAJ-AUTO.NS,8679.5,3131.467909076339,Very High Probability,0.22924190758885396,0.5,14527.13280202967,0.5622603130778465,1505.1646609769696,0.75,0.02996914241998737,0.75,0.23787269354748905,0.12629732669096136,0.34812013831026334,0.5,0.035335470583555795,0.42402564700266954,0.4231352548080212,-0.397415488390458,0.771,2423.194648576,Consumer Cyclical,27.0,27
INDUSINDBK.NS,760.0999755859375,2427.928883127347,Very High Probability,0.2871806751147376,0.5,31151.58807573943,0.46770601242909804,-25351.03788727455,-0.5,0.032348841747413426,0.5,0.2567609713939201,0.08808839668245257,0.40783382315799277,0.5,-0.11034388995471922,-1.3241266794566307,0.5709378765496093,-1.2507824891540695,0.646,592.175628288,Financial Services,28.0,28
ULTRACEMCO.NS,12589.0,1939.0193825400052,Very High Probability,0.17015276166728852,0.5,9268.451866077932,0.5767915177313043,567.1663493756149,1.0,0.024018628539848534,1.0,0.19064195384783297,0.08025649728356643,0.2728056306526221,0.5,0.025100257241094437,0.30120308689313324,0.16182273659839713,0.39932390738338014,0.43,3703.0920192,Basic Materials,29.0,29
TATACONSUM.NS,1084.0999755859375,637.0333367992935,Very High Probability,0.22434088620375428,0.5,4942.46026389636,0.6851398432249336,-2344.9504811867546,0.25,0.02076874232060394,0.25,0.16484678167170155,0.05729449909586574,0.2940828558810148,0.5,0.021103216458187357,0.2532385974982483,0.2725822974701189,-0.5119109123563854,0.424,1072.753803264,Consumer Defensive,30.0,30
NTPC.NS,337.0,398.1960730466306,Very High Probability,0.18790163130148121,0.5,-1309.762382326173,0.6619350242604298,4399.181892336005,0.75,0.019937349295309312,0.75,0.15824780411165193,0.04049432559774673,0.2559942923698399,0.5,-0.01677669797744752,-0.20132037572937023,0.32302293903421503,-0.7795500376851938,0.301,3267.777789952,Utilities,31.0,31
BAJAJFINSV.NS,1965.9000244140625,249.6629712112114,Very High Probability,0.20380184062613985,0.5,2711.011297910324,0.6151478650534989,-1952.0500734051193,0.75,0.02396672940953187,0.75,0.1902300172715977,0.05747900761830272,0.2825447956070847,0.5,-0.04552305077492491,-0.5462766092990989,0.22449886972091823,0.6834580575241787,0.634,3138.067890176,Financial Services,32.0,32
HDFCBANK.NS,1964.5999755859375,-579.3763539030873,Very Low Probability,0.19704023982435856,0.5,-2262.815810028766,0.6771558204671441,-847.2601688690688,-0.25,0.014379249328097077,0.25,0.11413175328581243,0.03426737549152639,0.20060278638994244,0.5,-0.029415102944640784,-0.3529812353356894,0.12926406096372192,0.9213588487352818,0.623,15082.273636352,Financial Services,33.0,33
