Symbol,Current_Price,Expected_Return,Composite_Score,Value_Score,Quality_Score,Momentum_Score,Size_Score,LowVol_Score,Volatility,Sharpe_Ratio,Max_Drawdown,Market_Cap_B,Sector,Factor_Rank,Expected_Return_Rank,Rank
TATACONSUM.NS,1081.5999755859375,0.06208978734102528,0.44582235303610557,0.26808923177178795,0.8152001803726343,0.5,0.0,0.5,0.2232574837055194,-0.013035230043232713,0.09781990497394023,1070.279950336,Consumer Defensive,28.0,33.0,28
AXISBANK.NS,1070.0,0.06384657632510941,0.444823349897201,0.6314350662554706,0.44785833333333336,0.5,0.0,0.5,0.22750638874048315,-0.005069851801859949,0.14146396011807952,3319.493296128,Financial Services,29.0,23.0,29
BAJFINANCE.NS,900.7999877929688,0.06248298990611566,0.4444807510930887,0.3628289681060662,0.7150940362662886,0.5,0.0,0.5,0.26506044852827737,-0.009495985190773656,0.119074655836535,5597.05751552,Financial Services,30.0,31.0,30
INDUSINDBK.NS,770.8499755859375,0.0628162034937088,0.44350693156885157,0.5075926230954736,0.5,0.5,0.11072517196655429,0.5,0.5203240243600493,-0.004196993419585179,0.3913728694840066,600.550670336,Financial Services,31.0,30.0,31
ASIANPAINT.NS,2492.89990234375,0.061445096430160134,0.4384122562582172,0.22807221093341923,0.8255768140994497,0.5,0.0,0.5,0.18912546029209218,-0.018796536248210826,0.09673039635059762,2389.601681408,Basic Materials,32.0,36.0,32
INFY.NS,1532.0999755859375,0.060842247475137806,0.4339724627533519,0.16077994198733822,0.8751099090260694,0.5,0.0,0.5,0.2628756884950759,-0.015816420866702086,0.20832626445261618,6350.96793088,Technology,33.0,40.0,33
BAJAJ-AUTO.NS,8750.5,0.06178959297741393,0.4320048936645097,0.37385987150866984,0.654159703149369,0.5,0.0,0.5,0.2698961121698273,-0.011894973205712497,0.11242837276968987,2443.01692928,Consumer Cyclical,34.0,34.0,34
HCLTECH.NS,1504.199951171875,0.06063549781926565,0.4308402678049335,0.1570163501939272,0.8663447210258068,0.5,0.0,0.5,0.2700781374233271,-0.01616014617981952,0.15887414913243264,4075.343839232,Technology,35.0,41.0,35
ICICIBANK.NS,1433.199951171875,0.062301302196149724,0.4301037790143715,0.4990150910574863,0.5214000249999999,0.5,0.0,0.5,0.17728841121198655,-0.015222076758437428,0.05198249687929463,10232.846614528,Financial Services,36.0,32.0,36
BPCL.NS,315.79998779296875,0.06321937564430352,0.42990387529407403,0.6850286253318164,0.33458687584447977,0.5,0.0,0.5,0.2759337513212099,-0.006453086464307462,0.11410787839550403,1370.316079104,Energy,37.0,28.0,37
