Symbol,Current_Price,Reliability_Score,Reliability_Rating,OCF_Conversion,Cash_Flow_Stability,Working_Capital_Efficiency,Accruals_Quality,FCF_Generation,Operating_CF_M,Free_CF_M,Net_Income_M,OCF_NI_Ratio,FCF_Yield,FCF_Conversion,Total_Cash_M,Volatility,Max_Drawdown,Market_Cap_B,Sector,Reliability_Rank,Rank
WIPRO.NS,248.63999938964844,0.6879662438098078,Good,0.6935284005576365,0.8343140162563921,0.65,0.3904320573303018,0.7957826590978747,170585.997312,116813.996032,134626.000896,1.2671103366115695,0.044866612052999,0.6847806846557776,531502.989312,0.2472260548656613,0.26610249782526185,2603.58406144,Technology,23.0,23
ASIANPAINT.NS,2504.5,0.686082763902517,Good,0.6722131343392489,0.7439273812214738,0.6172726368826772,0.6033720814245277,0.7764183224159766,,,35970.199552,,,,46921.699328,0.1926135781092608,0.39041581579962537,2400.721043456,Basic Materials,24.0,24
POWERGRID.NS,283.3500061035156,0.6816958013301218,Good,0.6681580403962899,0.7646092427256137,0.5847425605268873,0.6275037503880806,0.7533018401116847,,,154281.00096,,,,100772.397056,0.2620808767571485,0.2955904525229663,2635.324981248,Utilities,25.0,25
HCLTECH.NS,1466.300048828125,0.675410596643804,Good,0.9517671949275278,0.7311490569954877,0.6766787244046563,0.3299995186538144,0.532016569169106,2571.000064,1986.625024,1995.000064,1.288721795249025,0.0005000741064947706,0.7727051631843134,3206.000128,0.23159609123614616,0.306620071870276,3972.661248,Technology,26.0,26
INFY.NS,1487.5,0.6705627374721019,Good,0.7477540774767584,0.7347316635980187,0.7630640163772789,0.5017186329061835,0.544036435859626,4184.0,3329.0624,3204.0,1.3058676654182273,0.0005398985056722361,0.7956650095602295,4137.999872,0.23990660588372628,0.3015202191373789,6166.089302016,Technology,27.0,27
ITC.NS,398.29998779296875,0.6663779162401725,Good,0.6610923104765026,0.799472126088997,0.449852259815839,0.4053867782353171,0.9521597235239103,,,199679.000576,,,,204869.500928,0.18424058683921765,0.23274520615452998,4989.38413056,Consumer Defensive,28.0,28
EICHERMOT.NS,5924.5,0.663946845320239,Good,0.7338882202934773,0.6792601469799956,0.48727869379511257,0.4037797547810114,0.9330002943734814,,,48382.001152,,,,37530.099712,0.24960103675482134,0.25920353651114225,1624.960139264,Consumer Cyclical,29.0,29
AXISBANK.NS,1070.9000244140625,0.658278625855872,Good,0.8563228969730502,0.6027104886946075,0.5,0.3799275813801421,0.8333333333333333,,,278624.01024,,,,656061.169664,0.22708643541915724,0.2802702662846884,3322.285391872,Financial Services,30.0,30
RELIANCE.NS,1409.199951171875,0.6379048260545648,Good,0.7494587099186653,0.8721597788632593,0.5103947372685883,0.5824171912124152,0.43333333333333335,,,815039.971328,,,,2252110.036992,0.2060294879215479,0.27175745007823293,19069.998727168,Energy,31.0,31
ICICIBANK.NS,1436.4000244140625,0.6151666033048728,Good,0.6879069241841089,0.577330619757189,0.5,0.40704721093827434,0.8333333333333333,,,528909.59872,,,,1968211.755008,0.18245666260537652,0.14240744909954892,10255.695085568,Financial Services,32.0,32
